Time (s),Execution time (s)
0.002,0.7871253490447998
0.018,0.7863776683807373
0.041,0.7920725345611572
0.003,0.8337893486022949
0.04,0.8150177001953125
0.02,0.8468024730682373
0.04,0.8434784412384033
0.004,0.8914213180541992
0.001,0.8947877883911133
0.03,0.8819122314453125
0.005,0.9188299179077148
0.046,0.8939769268035889
0.01,0.945124626159668
0.016,0.9639239311218262
0.049,0.936556339263916
0.002,0.9968230724334717
0.035,0.980496883392334
0.052,0.9661271572113037
0.056,0.9989104270935059
0.057,0.9989995956420898
0.047,1.0166163444519043
0.07,1.0061166286468506
0.064,1.0140252113342285
0.067,1.0345823764801025
0.06,1.0560646057128906
0.075,1.0431315898895264
0.074,1.0534040927886963
0.089,1.0439937114715576
0.081,1.0760858058929443
0.092,1.084735631942749
0.086,1.096548318862915
0.097,1.1052627563476562
0.107,1.124575138092041
0.08,1.1589562892913818
0.101,1.158980131149292
0.083,1.1859993934631348
0.094,1.2094380855560303
0.109,1.2309834957122803
0.12,1.2252392768859863
0.114,1.2771658897399902
0.118,1.2761509418487549
0.097,1.318460464477539
0.122,1.3461277484893799
0.131,1.348569631576538
0.137,1.3462719917297363
0.13,1.3611395359039307
0.125,1.3747589588165283
0.134,1.3685767650604248
0.146,1.366997480392456
0.154,1.3911387920379639
0.141,1.405740737915039
0.16,1.3901934623718262
0.139,1.4152626991271973
0.159,1.4032037258148193
0.147,1.4184956550598145
0.148,1.4207632541656494
0.161,1.432647705078125
0.165,1.4378407001495361
0.175,1.440699815750122
0.189,1.4375064373016357
0.182,1.4467651844024658
0.188,1.4465076923370361
0.202,1.4535443782806396
0.221,1.4349102973937988
0.199,1.4708547592163086
0.174,1.498436689376831
0.187,1.49385666847229
0.17,1.516331434249878
0.201,1.488239049911499
0.209,1.4923908710479736
0.219,1.487619400024414
0.211,1.499086856842041
0.228,1.5062298774719238
0.215,1.520287275314331
0.22,1.5188024044036865
0.238,1.504246711730957
0.23,1.518359661102295
0.184,1.5670757293701172
0.241,1.5109689235687256
0.245,1.5139646530151367
0.25,1.51247239112854
0.259,1.5056312084197998
0.244,1.5278406143188477
0.204,1.5727605819702148
0.256,1.5244269371032715
0.268,1.5128412246704102
0.254,1.5295600891113281
0.275,1.514754056930542
0.272,1.5236926078796387
0.273,1.5238728523254395
0.262,1.5380175113677979
0.263,1.5431547164916992
0.279,1.5354409217834473
0.281,1.536090612411499
0.284,1.5342679023742676
0.291,1.5283997058868408
0.289,1.53104829788208
0.297,1.5360751152038574
0.302,1.5362954139709473
0.293,1.5468981266021729
